Company,Website,Batch,Vertical,TeamSize,Hiring,OneLiner
Variant,https://variant.com,Fall 2024,DevTools,5,yes,Creative intelligence
Mem0,https://mem0.ai,Summer 2024,DevTools,10,yes,The Memory layer for AI Agents
Unsloth AI,https://unsloth.ai/,Summer 2024,DevTools,8,yes,Open-Source Reinforcement Learning (RL) & Fine-tuning for LLMs.
Wordware,https://wordware.ai/,Summer 2024,DevTools,15,yes,AI agents you can rely on
cmux,https://www.cmux.com,Summer 2024,DevTools,3,yes,Open source applied AI lab building next-gen devtools
Thunder Compute,https://www.thundercompute.com,Summer 2024,DevTools,9,yes,VMware for GPUs
Cekura,https://www.cekura.ai/,Fall 2024,DevTools,15,yes,Voice AI and Chat AI agents: Testing and Observability
Kilvin,https://www.kilvin.ai,Fall 2024,DevTools,3,yes,Build your own desktop
x1,https://x1.new/,Fall 2024,DevTools,5,yes,AI app builder for creating and launching iPhone apps
Ryvn,https://ryvn.ai,Fall 2024,DevTools,5,yes,Easy and secure customer cloud deployments
Chima,https://www.withchima.com/,Winter 2023,AI/DevTools,7,yes,Building infrastructure tools to help large companies customize their…
Rubbrband,https://rubbrband.com,Winter 2023,AI,10,yes,A new kind of creative company.
Reflex,https://reflex.dev,Winter 2023,AI/DevTools,10,yes,The operating system for building mission-critical enterprise apps.
Credal.ai,https://credal.ai,Winter 2023,AI,14,yes,The Control Plane for Enterprise Agents
Rollstack,https://www.rollstack.com,Winter 2023,AI,30,yes,Automate data-driven slide decks and documents with AI
Concourse,https://concourse.ai/,Winter 2023,AI,15,yes,The AI Agent platform for finance
Latent,https://latenthealth.com,Winter 2023,AI,50,yes,Medical language models to automate healthcare operations
Pair AI,https://www.pairai.com/,Winter 2023,AI,2,yes,Reimagining education with short form video and AI
Ohm,https://www.ohm.ai,Winter 2023,AI,6,yes,Ohm helps engineering teams accelerate hardware development & testing.
Glass Health,https://glass.health,Winter 2023,AI,7,yes,AI-Powered Clinical Decision Support & Ambient Scribing
Narrative,https://www.trynarrative.com/,Winter 2023,AI,5,yes,AI agents for end-to-end testing
Cosine,http://www.cosine.sh,Winter 2023,AI/ML/DevTools,12,yes,Fully Agentic SWE
Gooseworks,https://gooseworks.ai/,Winter 2023,AI,5,yes,Self-Improving Ad Creative Engines
Dream3D,https://dream3d.com,Winter 2023,AI,3,yes,We build tools to help humanity predict the future.
Orchid,https://orchid.health,Winter 2023,AI,4,yes,AI-powered EHR for independent mental health professionals
1stCollab,https://1stcollab.com/,Winter 2023,AI/ML,11,yes,Performance-Optimized Influencer Marketing at Scale
Variance,https://www.variance.com/,Winter 2023,AI,12,yes,AI Agents for Fraud Review and Investigations
Boundary,https://www.boundaryml.com,Winter 2023,AI/ML/DevTools,10,yes,The programming language for AI
SuperKalam,https://superkalam.com,Winter 2023,AI,20,yes,AI-Powered Super Mentor for Test Prep
Berry,https://berryai.com/,Winter 2023,AI,8,yes,Scale customer success and onboarding with AI 
Pier,http://www.pier-finance.com,Winter 2023,AI,4,yes,Stripe for Credit - Trusted Credit Compliance Partner
Type,https://type.ai,Winter 2023,AI,5,yes,AI-native storytelling studio.
Vendora,https://www.vendora.io/,Winter 2023,AI,4,yes,All-in-One Software for the $1T Grocery Industry
LiteLLM,https://www.litellm.ai/,Winter 2023,AI/DevTools,10,yes,Call every LLM API like it's OpenAI [100+ LLMs]
Automat,https://www.runautomat.com/,Winter 2023,AI/DevTools,,yes,"Agentic automation that understands context, recovers, and improves."
kapa.ai,https://www.kapa.ai,Summer 2023,AI,22,yes,The fastest way to build AI assistants on technical content
Kino AI,https://kino.ai,Summer 2023,AI,4,yes,Kino is an AI media manager and video editor for humans and agents.
Clearest Health,https://clearesthealth.com/,Summer 2023,AI,11,yes,AI revenue recovery for underpaid healthcare claims.
Elyos AI,https://www.elyos.ai/,Summer 2023,AI,20,yes,AI Customer Service Agents for trades and field services
Pointhound,http://www.pointhound.com,Summer 2023,AI,5,yes,Earn and redeem credit card points for free flights
Casca,https://www.cascading.ai/,Summer 2023,AI/ML,40,yes,Make Banking Magical
SID,https://www.sid.ai,Summer 2023,AI,7,yes,AI research lab for retrieval
Cardinal Gray,https://www.cardinalgray.com/,Summer 2023,AI,6,yes,Automating lenders' interactions with the DMV
Skyvern,https://www.skyvern.com/,Summer 2023,AI,10,yes,Open Source AI Agent to automate browser workflows via an API
